tcgplayer_id,directLow,market,low,mid
207070 (Nonfoil),2.26,2.26,1.74,2.9
206854 (Foil),,2.31,1.5,3.01
206854 (Nonfoil),1.79,1.57,0.92,1.81
212085 (Foil),0.35,0.33,0.14,0.97
212085 (Nonfoil),0.28,0.28,0.07,0.5
212007 (Nonfoil),40.95,33.75,29.98,37.61
212007 (Foil),52.18,50.72,48.35,57.85
212218 (Nonfoil),,30.85,28.9,33.99
212218 (Foil),,,,
215733 (Foil),10.24,11.52,9.25,12.99
215733 (Nonfoil),,4.48,3.0,4.94
215928 (Foil),,3.6,2.99,4.27
215928 (Nonfoil),,1.55,1.0,1.85
215738 (Nonfoil),,0.83,0.44,1.34
215738 (Foil),,1.88,1.29,2.45
215486 (Nonfoil),,10.71,9.98,11.41
215486 (Foil),,16.7,15.03,20.58
215926 (Foil),,3.69,2.29,4.0
215926 (Nonfoil),,1.05,0.5,1.29
218828 (Nonfoil),,3.32,2.29,3.5
218828 (Foil),7.0,6.22,4.5,5.47
15367 (Nonfoil),,20.38,17.54,20.46
15367 (Foil),,79.31,59.99,127.47
12284 (Nonfoil),,12.37,14.0,17.92
12284 (Foil),,51.36,19.95,21.07
2663 (Nonfoil),,19.82,14.61,19.94
2663 (Foil),,,,
47509 (Nonfoil),18.99,18.77,17.46,19.46
47509 (Foil),,,,
14853 (Nonfoil),56.57,13.97,11.0,13.31
14853 (Foil),,35.38,16.53,20.48
95054 (Nonfoil),,,,
95054 (Foil),,9.95,7.49,10.58
55922 (Nonfoil),15.5,9.25,7.5,8.93
55922 (Foil),,11.41,9.49,12.25
206250 (Foil),78.42,82.76,73.69,78.65
206250 (Nonfoil),,,,
215312 (Nonfoil),,,,
215312 (Foil),,34.35,19.74,29.99
10741 (Nonfoil),,15.82,13.09,16.13
10741 (Foil),,39.99,27.75,33.47
15428 (Nonfoil),6.99,6.61,4.99,7.0
15428 (Foil),23.95,20.48,22.0,27.95
